uuid,title,author,abstract
298,[The wave train of COVID-19 infections],"Maria Teresa Giraudo,Manuele Falcone,Cesare Cislaghi,Maria Teresa Giraudo,Manuele Falcone,Cesare Cislaghi","The present work studies the epidemic curve of COVID-19 in Italy between September 2020 and mid-June 2021 in terms of poussées, that is successive waves. There is obviously only one pandemic, although the virus has spread in the form of several variants, but the daily incidence trend can also be read in terms of overlapping of events that are different from each other or, in any case, induced by various phenomena. It can be hypothesized that in this way a succession of various waves was generated, which are modelled here using appropriate adaptation curves used in the study of epidemic data. Each curve corresponds approximately to the situation that would have occurred if no element had intervened to prevent the decrease of infections after the relative peak, while their overlap is considered to describe the subsequent increases. This interpolation has no predictive purpose, being purely descriptive over the time window under consideration. The discrepancies between the superposition of the modelling curves and the real epidemic curve are therefore also highlighted, especially in the transition periods between the various poussées. Finally, the analysis carried out allows to match the trend of the epidemic in the period considered with, on one hand, the series of events and, on the other, with the containment measures adopted which may have determined the succession of increases and decreases in the incidence of infections."
299,Lithium-ion battery 2nd life used as a stationary energy storage system: Ageing and economic analysis in two real cases,"Rallo, H.; Casals, L. Canals; De La Torre, D.; Reinhardt, R.; Marchante, C.; Amante, B.","Electric vehicles (EVs) are considered a viable alternative to internal combustion engine vehicles (ICEVs) and as a result of recent advances in battery technologies, sales are increasing year by year. However, recycling these batteries at the end of their useful life in the car can be a problem because they contain materials that can harm human health and the environment. Thus, car manufacturers consider that when those batteries have finished their first life in an EV, they still contain enough energy and capacity to be used in a stationary energy storage systems (SESSs), significantly contributing towards an increased sustainable transport sector in the future. This study focuses the analysis on the viability of a SESS installation, considering battery ageing from an economic perspective in two different real scenarios in Spain. This study simulates the electricity bill cost with and without SESS and calculates the annual savings accordingly. Following, the return on investment (ROI) of installing a SESS is calculated. Afterwards the lifetime of the batteries is calculated in order to compare it with the ROI and to decide if the installation of a SESS is advisable from an economic point of view. Major results indicate that any feasibility study of installing a SESS must be studied from an economic and battery ageing point of view. (C) 2020 Elsevier Ltd. All rights reserved."
300,A framework to overcome sustainable supply chain challenges through solution measures of industry 4.0 and circular economy: An automotive case,"Yadav, Gunjan; Luthra, Sunil; Jakhar, Suresh Kumar; Mangla, Sachin Kumar; Rai, Dhiraj P.","Adoption of sustainability has become extremely essential aspect over the last decade for the industries to sustain in the global market. However, the adoption of sustainability in supply chain is more concern for the manufacturing organisations. Constantly, changing market has insisted these organisations to revisit their supply chain activities in order to penetrate sustainability effectively through various practices such as lean, green, circular, and industry 4.0 etc. But, the lack of verified Sustainable Supply Chain Management (SSCM) frameworks has become a concern for the practitioners. Similarly, solutions required to overcome the SSCM adoption issues also need to be updated accordingly to changing business environments. So, the present study aims to develop a framework to overcome SSCM challenges through industry 4.0 and circular economy based solution measures. This study identifies a unique set of 28 SSCM challenges and 22 solution measures. Further, an automotive case organisation is used to test the applicability of the developed framework through hybrid Best Worst Method (BWM)- ELimination and Choice Expressing REality (ELECTRE) approach. The inputs for BWM-ELECTRE approach is obtained by constructing an expert panel within the case organisation. Initial inputs are taken for BWM comparisons to compute the weight of SSCM challenges; whereas, further a comparison of challenges and solution measures is also obtained for ELECTRE approach to compute the final ranking of the solution measures to overcome SSCM challenges. The case findings reveal that managerial and organisational challenges and economic challenges emerge as most critical to SSCM adoption. The present study outcomes will be beneficial for researchers working in SSCM industry 4.0 and circular economy domain; whereas, the practitioners can use the prioritised solution measures to formulate effective strategies to overcome SSCM adoption failures. (C) 2020 Elsevier Ltd. All rights reserved."
301,Study of inorganic elements in different organs and tissues of Amazonian manatee (Trichechus inunguis) from Brazil,"Fábio José Targino Moreira da Silva Júnior,Joanna Damazio Nunes Ribeiro,Hugo Leandro Azevedo da Silva,Carla da Silva Carneiro,Edgar Francisco Oliveira de Jesus,Ubiratan Barbosa de Araújo,Stella Maris Lazzarini,Aline Ramos Souza,Julia Siqueira Simões,Ricardo Tadeu Lopes,Marcelino José Dos Anjos,Micheli da Silva Ferreira,Eliane Teixeira Mársico,Fábio José Targino Moreira da Silva Júnior,Joanna Damazio Nunes Ribeiro,Hugo Leandro Azevedo da Silva,Carla da Silva Carneiro,Edgar Francisco Oliveira de Jesus,Ubiratan Barbosa de Araújo,Stella Maris Lazzarini,Aline Ramos Souza,Julia Siqueira Simões,Ricardo Tadeu Lopes,Marcelino José Dos Anjos,Micheli da Silva Ferreira,Eliane Teixeira Mársico","Multielement concentrations (P, S, Cl, K, Ca, Cr, Mn, Fe, Ni, Cu, Zn, Rb, and Rh) and total mercury (T-Hg) were analyzed in different organs and tissues of Amazonian manatee (Trichechus inunguis). Samples of 27 T. inunguis specimens, maintained in the collection of the Amazonian Center for the Research and Preservation of Aquatic Mammals, were used, situated in an area highly impacted by gold mining in the northern region of the Brazilian Amazon. Samples of aquatic plants used as food by the animals were also analyzed. The elements S, Cl, K, Cr, and Mn accumulated mainly in the musculature, while Fe and Cu were more concentrated in the liver. Trace elements, such as rubidium (Rb) and rhodium (Rh), not previously reported in the organs of animals of the family Trichechidae, were also identified. The averages for T-Hg in the skin, muscle, encephalon, liver, kidney, and lung samples were, respectively, 0.1540 ± 0.1332, 0.0593 ± 0.1044, 0.0517 ± 0.0467, 0.0486 ± 0.0543, 0.0237 ± 0.0336, and 0.0013 ± 0.0032 µg.g-1. The values obtained for the vibrissae samples were below the limit of quantification, which allows for the conclusion that this tissue cannot be used as a contamination marker. It was observed that even when kept in a conservation breeding site, these animals were exposed to non-essential trace elements. Differences in the accumulation of elements were observed between the different organs and tissues analyzed. The presence of contaminants in animals that live in a preservation center, even at low levels, deserves attention."
302,Multiscale analysis on spatiotemporal dynamics of energy consumption CO2 emissions in China: Utilizing the integrated of DMSP-OLS and NPP-VIIRS nighttime light datasets,"Lv, Qian; Liu, Haibin; Wang, Jingtao; Liu, Hao; Shang, Yu","CO2 emissions caused by socioeconomic development and energy consumption in China have put enormous pressure on emissions reduction for Chinese government. In response to CO2 emissions reduction in China, this study integrated the Defense Meteorological Satellite Program's Operational Linescan System (DMSP-OLS) stable nighttime light (SNL) data and Suomi National Polar-orbiting Partnership (NPP) Visible Infrared Imaging Radiometer Suite (VIIRS) composite data, and established the integrated nighttime light datasets from 1992 to 2016. The estimated CO2 emissions model utilizing the integrated nighttime light datasets and statistical CO2 emissions at the provincial level from 1995 to 2016 were established. Finally, spatiotemporal dynamics of CO2 emissions were simulated from multiscale. The results clearly showed that: (1) The fitting results of regression relationship between DMSP-OLS SNL data and NPP-VIIRS composite data met the accuracy requirements. The CO2 emissions estimated model was valid. (2) The total amount of energy consumption CO2 emissions in China had increased from 1889.3340 Mt in 1995 to 4683.3165 Mt in 2016, with a total growth of 2.47 times. (3) The high CO2 emissions regions were clearly agglomerated in eastern coastal China from the pixel scale, the highest CO2 emissions provinces were concentrated in Hebei and Shandong, the high CO2 emissions prefecture cities were concentrated in Around Bohai Gulf area, eastern coastal China and some developed cities, and the high CO2 emissions counties were concentrated in eastern coastal China and western energy intensive counties. (4) The relatively-slow growth accounted for the highest proportion among the five growth types, and the CO2 emissions rapid growth regions were concentrated in eastern China at provincial, prefectural and county scale. The western regions accounted for the largest area proportion in five growth types at prefectural scale. We provided policy implications based on the results, which was beneficial to propose mitigation CO2 emissions reduction in China. (C) 2019 Elsevier B.V. All rights reserved."
303,"Energy, exergy, and economic analyses of an innovative energy storage system; liquid air energy storage (LAES) combined with high-temperature thermal energy storage (HTES)","Nabat, Mohammad Hossein; Zeynalian, Mirhadi; Razmi, Amir Reza; Arabkoohsar, Ahmad; Soltani, M.","Liquid air energy storage is one of the most recent technologies introduced for grid-scale energy storage. As the title implies, this technology offers energy storage through an air liquefaction process. High energy storage density, no geographical limitation, and applicability for large-scale uses are some of the advantages of this technology. To improve the performance and environmental friendliness of the conventional design of this technology, a novel liquid air energy system combined with high-temperature thermal energy storage, thermoelectric generator, and organic Rankine cycle is proposed in the present article. The thermal energy storage unit removes the need for the conventional combustion chamber and thereby reduces greenhouse gas emission. The organic Rankine cycle and the thermoelectric generator recover the generated heat of the system during the charging process to further improve the efficiency of the system. During peak demand periods, around 9.6 MW power and 2.5 kg/s domestic hot water could be generated at round trip energy and exergy efficiencies of 61.13% and 52.84%, improving by 6.59% and 3.28% in comparison to the stand-alone design of this technology. The results indicate that the reference system operates with an air storage energy density and an occupied space energy density of 839 and 104 MJ/m(3). The economic analysis represents a payback period of 3.91 years and a net profit of about 18.6 $M during the useful lifetime of the system."
304,COVID-19: A Review on the Role of Trace Elements Present in Saudi Arabian Traditional Dietary Supplements,"Hani A Alfheeaid,Syed Imam Rabbani,Hani A Alfheeaid,Syed Imam Rabbani","The novel coronavirus infection is also called COVID-19 (coronavirus disease 2019). The infection has affected millions of people worldwide and caused morbidity as well mortality in patients with pre-existing chronic conditions such as metabolic, respiratory and cardiovascular disorders. The severity of the disease is mostly seen in people with low immunity and chronic sufferers of respiratory, cardiovascular and metabolic disorders. To date, there is no specific treatment available for COVID-19. Precaution and prevention are the most recommended options followed for controlling the spread of infection. Trace elements such as zinc, calcium, iron and magnesium play an important role in boosting the immunity of the host system. These components assist in the development and functioning of lymphocytes, cytokines, free radicals, inflammatory mediators and endothelial functioning. This review summarizes the common dietary supplements that are regularly consumed in Saudi Arabia and are known to contain these vital trace elements. Data available in Google Scholar, NCBI, PUBMED, EMBASE and Web of Science about COVID-19, micronutrients, trace elements and nutritional supplements of Saudi Arabia was collected. By highlighting the traditionally used dietary components containing the essential elements, this review could provide useful knowledge crucial for building immunity in the population."
305,"Passive and active performance assessment of building integrated hybrid solar photovoltaic/thermal collector prototypes: Energy, comfort, and economic analyses","Barone, Giovanni; Buonomano, Annamaria; Forzano, Cesare; Giuzio, Giovanni Francesco; Palombo, Adolfo","Solar systems represent a viable way to reduce in a sustainable manner building energy consumptions. Nevertheless, two issues can be underlined: insufficient building surface areas for hosting typical standalone solar devices and related high initial costs. Consequently, growing research and industrial interest in cost-effective building-integrated solar systems is today observed. In this framework, this paper presents a comprehensive analysis of two low-cost building-integrated hybrid photovoltaic/thermal collector prototypes (waterand air-cooled, respectively). Both active and passive effects are investigated employing a purposely developed dynamic simulation tool, able to carry out complete system performance analyses. The capability of such the proposed innovative devices as well as of the presented inhouse code is shown by a novel case study regarding a dwelling unit located into a multi-story residential building for three diverse European weather zones. Here, the investigated prototypes are modelled as integrated into the building South facade. For comparison purposes, a building integrated photovoltaic panel is also modelled as a reference case. Both active and passive effects are assessed. Relevant energy savings (up to 4236 kWhe/y), comfort outcomes (related hours variation range from-190 to thorn 121), and economic results (paybacks are between 3 and 6 years) are achieved. (C) 2020 Elsevier Ltd. All rights reserved."
306,"Energy investment, economic growth and carbon emissions in China-Empirical analysis based on spatial Durbin model","Li, Jinying; Li, Sisi","The international community has reached a consensus on preventing the global climate from deterioration by stabilizing greenhouse gas concentrations in the atmosphere. Energy industry is a key field for greenhouse gas emission, and investment in the energy industry plays a crucial part in promoting the low-carbon development of China's energy industry. Energy investment can effectively break the high carbon ""lock-in effect"" of energy industry and achieve the low-carbon development of energy industry by guiding, regulating and gathering social funds into the field of cleaner production and the field of low-carbon technology. Based on the unified framework of energy, economy and environment, this article takes 30 provinces in China as the research object, and constructs a spatial econometric model to investigate the impact of energy investment and economic growth on carbon emission reduction. The results indicate that both energy investment and economic growth are responsible for the increase of China's provincial CO2 emissions, but their driving mechanisms are significantly different. Furthermore, the increase of carbon emissions in adjacent provinces will bring about the increase of local carbon emissions through spatial spillover effects. Based on these findings, the corresponding countermeasures and policy suggestions are put forward."
307,How does urbanization affect carbon emission efficiency? Evidence from China,"Sun, Wei; Huang, Chenchen","The complex impact of urbanization and the enormous pressure to reduce carbon emissions are two major challenges facing China. However, few studies have considered how urbanization affects carbon emission efficiency. To explore the impact of urbanization on carbon emission efficiency, this study evaluates the carbon emission efficiency based on the panel data of 30 provinces in China from 2000 to 2016. The correlations between six factors, including the level of urbanization, and carbon efficiency were analyzed by using a stochastic frontier model that combines with the translog production function. The results suggest that, first, despite the steady improvement in China's carbon efficiency, the average carbon efficiency is 0.5730 in 2016, with room for improvement of 42.70%. Second, there is an inverted U-shaped relationship between urbanization and carbon emission efficiency. The coefficient of the urbanization level is -0.6370, and the coefficient of its square is 1.2310. In the early stage, the expansion of the scope of urbanization promotes the improvement of carbon emission efficiency. Once the urbanization level passes the critical point, the economic growth rate will lag behind the growth rate of carbon emissions. Third, economic development level, energy consumption structure, foreign trade, and government intervention are positively correlated with carbon emission efficiency. Industrial structure inhibits the improvement of carbon emission efficiency. The conclusion provides a theoretical reference for urban planning and the green economy for government policymakers. (C) 2020 Elsevier Ltd. All rights reserved."
308,"Recruitment, Readiness, and Retention of Providers at a Field Hospital During the Pandemic","Ishaan Gupta,Zishan K Siddiqui,Mark D Phillips,Amteshwar Singh,Shaker M Eid,Laura Wortman,Flora Kisuule,James R Ficke,CONQUER COVID Consortium,Melinda E Kantsiper,Ishaan Gupta,Zishan K Siddiqui,Mark D Phillips,Amteshwar Singh,Shaker M Eid,Laura Wortman,Flora Kisuule,James R Ficke,CONQUER COVID Consortium,Melinda E Kantsiper","In response to the coronavirus disease (COVID-19) pandemic, the State of Maryland established a 250-bed emergency response field hospital at the Baltimore Convention Center to support the existing health care infrastructure. To operationalize this hospital with 65 full-time equivalent clinicians in less than 4 weeks, more than 300 applications were reviewed, 186 candidates were interviewed, and 159 clinicians were credentialed and onboarded. The key steps to achieve this undertaking involved employing multidisciplinary teams with experienced personnel, mass outreach, streamlined candidate tracking, pre-interview screening, utilizing all available expertise, expedited credentialing, and focused onboarding. To ensure staff preparedness, the leadership developed innovative team models, applied principles of effective team building, and provided ""just in time"" training on COVID-19 and non-COVID-19-related topics to the staff. The leadership focused on staff safety and well-being, offered appropriate financial remuneration, and provided leadership opportunities that allowed retention of staff."
309,A structural equation model predicting adults' online learning self-efficacy,"Noriel P Calaguas,Paolo Maria P Consunji,Noriel P Calaguas,Paolo Maria P Consunji","We aimed to model the direct effects of the theorized relationships of academic self-efficacy, computer use self-efficacy, learning management system self-efficacy, internet and information-seeking self-efficacy, and online learning self-efficacy using structural equation modeling. The study proves that academic self-efficacy has positive predictive relationships with computer use self-efficacy, learning management system self-efficacy and internet and information self-efficacy. Secondly, modeling revealed that computer use self-efficacy, learning management system self-efficacy and internet and information self-efficacy positively predicts online learning self-efficacy. This study provides empirical evidence on a previously theorized set of relationships and informs policy makers on significant relationships they can employ to inform program development aimed at improving online learning self-efficacy anchored on their particular use cases."
310,Impact on Electricity Consumption and Market Pricing of Energy and Ancillary Services during Pandemic of COVID-19 in Italy,"Ghiani, Emilio; Galici, Marco; Mureddu, Mario; Pilo, Fabrizio","At the moment of writing, in Italy, there is an ongoing pandemic of coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Its outbreak is leading to severe global socioeconomic disruptions impacting on all economic sectors from tourism, industry and the tertiary sector, up to the operational and opening of public offices, the closure of schools and the organization of families. Measures adopted by the Italian government to deal with the COVID-19 emergency have had direct effects both on people's daily lives and on the activity of most industrial and commercial production companies. These changes have been unequivocally reflected also on the Italian electricity system, which has shown unprecedented behavior in terms of both energy consumption and volume-and subsequently, in the observed share of renewable and conventional production technologies. The goal of this study is to show the impact on the power industry of all the restrictions and lockdown of the activities in Italy and to discuss the effects of COVID-19 outbreak on the bulk power system and the entire electricity sector. In particular, the consequences on load profiles, electricity consumption and market prices in Italy, including the environmental aspects, are examined."
311,GSH-responsive poly-resveratrol based nanoparticles for effective drug delivery and reversing multidrug resistance,"Yang Liping,He Jian,Tao Zhenchao,Zhou Yan,Yang Jing,Zhang Yangyang,Gao Jing,Qian Liting,Yang Liping,He Jian,Tao Zhenchao,Zhou Yan,Yang Jing,Zhang Yangyang,Gao Jing,Qian Liting","Cancer poses a serious threat to human health and is the most common cause of human death. Polymer-based nanomedicines are presently used to enhance the treatment effectiveness and decrease the systemic toxicity of chemotherapeutic agents. However, the disadvantage of currently polymeric carriers is without therapy procedure. Herein, for the first time, glutathione (GSH)-responsive polymer (PRES) with anti-cancer effect was synthesized following the condensation-polymerization method using resveratrol (RES) and 3,3'-dithiodipropionic acid. PRES can not only suppress the tumor cells growth but can also self-assemble into nanoparticles (∼93 nm) for delivering antitumor drugs, such as paclitaxel (PTX@PRES NPs). The system could achieve high drug loading (∼7%) and overcome multidrug resistance (MDR). The results from the in vitro studies revealed that the NPs formed of PRES were stable in the systemic circulation, while could be efficiently degraded in tumor cells high GSH environment. Results from cytotoxicity tests confirmed that PTX@PRES NPs could effectively suppress the growth of cancer cells (A549) and drug-resistant cells (A549/PTX). The NPs could also be used to significantly increase the therapeutic efficacy of the drugs in A549/PTX tumor-bearing mice. In vivo investigations also demonstrated that the PRES-based NPs exhibited tumor inhibition effects. In summary, we report that the GSH-responsive polymer synthesized by us exhibited multiple interesting functions and could be used for effective drug delivery. The polymer exhibited good therapeutic effects and could be used to overcome MDR. Thus, the synthesized system can be used to develop a new strategy for treating cancer."
312,Electronic Structure Modulation in MoO2 /MoP Heterostructure to Induce Fast Electronic/Ionic Diffusion Kinetics for Lithium Storage,"Yuanhao Shen,Yalong Jiang,Zhongzhuo Yang,Jun Dong,Wei Yang,Qinyou An,Liqiang Mai,Yuanhao Shen,Yalong Jiang,Zhongzhuo Yang,Jun Dong,Wei Yang,Qinyou An,Liqiang Mai","Transition metal oxides (TMOs) are considered as the prospective anode materials in lithium-ion batteries (LIBs). Nevertheless, the disadvantages, including large volume variation and poor electrical conductivity, obstruct these materials to meet the needs of practical application. Well-designed mesoporous nanostructures and electronic structure modulation can enhance the electron/Li-ions diffusion kinetics. Herein, a unique mesoporous molybdenum dioxide/molybdenum phosphide heterostructure nanobelts (meso-MoO2 /MoP-NBs) composed of uniform nanoparticles is obtained by one-step phosphorization process. The Mott-Schottky tests and density functional theory calculations demonstrated that meso-MoO2 /MoP-NBs possesses superior electronic conductivity. The detailed lithium storage mechanism (solid solution reaction for MoP and partial conversion for MoO2 ), small change ratio of crystal structure and fast electronic/ionic diffusion behavior of meso-MoO2 /MoP-NBs are systematically investigated by operando X-ray diffraction, ex situ transmission electron microscopy, and kinetic analysis. Benefiting from the synergistic effects, the meso-MoO2 /MoP-NBs displays a remarkable cycling performance (515 mAh g-1 after 1000 cycles at 1 A g-1 ) and excellent rate capability (291 mAh g-1 at 8 A g-1 ). These findings can shed light on the behavior of the electron/ion regulation in heterostructures and provide a potential route to develop high-performance lithium-ion storage materials."
313,Shearing Sulfur Edges of VS2 Electrocatalyst Enhances its Nitrogen Reduction Performance,"Liang Zhao,Yuanyuan Xiong,Xiaoxuan Wang,Rui Zhao,Xinyue Chi,Yixiang Zhou,Huaizhi Wang,Zhiyu Yang,Yi-Ming Yan,Liang Zhao,Yuanyuan Xiong,Xiaoxuan Wang,Rui Zhao,Xinyue Chi,Yixiang Zhou,Huaizhi Wang,Zhiyu Yang,Yi-Ming Yan","Electrochemical N2 fixation requires effective electrocatalysts to expedite the nitrogen reduction reaction (NRR) kinetics and suppress the concomitant hydrogen evolution reaction (HER). Although transition metal sulfides have been deemed as efficient NRR electrocatalysts, it remains a great challenge to suppress the serious HER to achieve high Faradaic efficiency (FE). Herein, vanadium disulfide (VS2 ) is deliberately designed by partially shearing its sulfur (S) edges through a simple calcination treatment at 350 °C. The as-prepared VS2 -350 electrocatalyst exhibits a highest NH3 yield of 20.29 µg h-1 mgcat-1 with a promising FE of 3.86%, which is significantly higher than the counterpart of untreated VS2 (VNH3 : 15.92 µg h-1 mgcat-1 , FE: 1.69%). Experimental and computational results reveal that shearing the S edges can substantially inhibit the HER and expose more V atoms as active sites. Meanwhile, the mechanistic analysis shows that the N2 activation at V active sites follows an ""acceptance-donation"" mechanism, while the N2 conversion to NH3 follows a hybrid 2 pathway at the VS2 -350 electrocatalyst. This work provides a simple strategy of designing high-performance NRR electrocatalysts based on a deep understanding of the atomic sites dependent catalytical activity."
314,Untapped renewable energy potential of crop residues in Pakistan: Challenges and future directions,"Kashif, M.; Awan, M. B.; Nawaz, S.; Amjad, M.; Talib, B.; Farooq, M.; Nizami, A. S.; Rehan, M.","Sustainability in power generation mainly depends on the transition from fossils to sustainable energy resources. Biomass from the crop residue has huge potential for renewable power generation, but it is still not utilized to its full potential. This study presents a comprehensive methodology to evaluate and forecast the current and future availability of selective crop residue to generate renewable energy. A forecast model incorporating historical trends in the crop yield has been developed in MATLAB and implemented for crop residue based biomass resource assessment of five primary crops (wheat straw, rice husk, rice straw, cotton straw, corn stover, and bagasse) in order to estimate the energy generation potential for Pakistan from 2018 till 2035. It was found that about 40 million tonnes of crop residue was available in Pakistan for power generation in the year 2018 considering a residue removal (availability) factor of 50%. This translates to an estimated potential of about 11,000 MW of electricity generation capacity using crop residue derived biomass for 2018. This capacity is predicted to gradually increase up to 16,000 MW by the year 2035 based on the trends in the growth of crop production since 2001. The suitability of a potential region for the installation of 100 MW biomass-fired power plants was also assessed by calculating crop residue density and an equivalent collection radius (R-e) of 50 km (km). Punjab province of Pakistan, being an agricultural province, with relatively better road infrastructure can sustain crop residue based power plants of up to 7000 MW cumulative capacity at various locations. The challenges, such as economic, logistics, regulatory and political barriers, in generating renewable energy from biomass along with their potential solutions were also discussed. The study also provides a baseline for future research to evaluate and forecast the growth in bio-power generation potential of any biomass resource in a region based on crop yield and area of the region."
315,Exergoeconomic and multi-objective optimization of a solar thermochemical hydrogen production plant with heat recovery,"Sadeghi, Shayan; Ghandehariun, Samane; Naterer, Greg F.","A solar hydrogen production plant based on a four-step copper-chlorine (Cu-Cl) thermochemical cycle is presented and analyzed in this paper. The integrated system includes a pressurized solar power tower, gas turbine unit, phase change material (PCM) for thermal energy storage (TES), Cu-Cl cycle, regenerative steam Rankine cycle (SRC), and a heat recovery unit. A predictive model is developed for energy, exergy, and exergo-economic analyses of the proposed system. A parametric study is also conducted to investigate the effect of major parameters on the system performance. The system is optimized with a non-dominated sorting genetic algorithm-II (NSGA-II) considering exergy efficiency and product cost per unit exergy as the two objective functions. The results indicate that the energy and exergy efficiencies of the overall system are 48.2% and 45%, respectively, while the total product cost per unit of exergy is found to be $10.97/GJ. The integrated solar system produces hydrogen, electricity, and steam at a rate of 0.1 kg/s, 50.49 MW, and 13.93 kg/s, respectively. Pareto solutions for multi-objective optimization indicate that the optimal design point of the system has an exergy efficiency and total product cost per unit of exergy of 50.1% and $11.94/GJ, respectively."
316,Effect of institutional quality and renewable energy consumption on CO2 emissions-an empirical investigation for developing countries,"Haldar, Anasuya; Sethi, Narayan","This paper investigates the role of institutional quality in moderating the impact of energy consumption on CO2 emission, with other variables such as trade, capital formation, FDI, financial development and population in 39 developing countries for 1995-2017. We use mean group (MG), augmented mean group (AMG), common correlated effects mean group (CCEMG) estimator, dynamic system GMM, panel grouped-mean FMOLS and panel quantile regression for the empirical results. From the different estimation techniques, we find that institutional quality moderates energy consumption and strengthens its effectiveness in abating carbon emissions. The combined influence of institutional quality and sector wise energy consumption on emissions is significant and negative. Our finding also confirms the Environmental Kuznets curve (EKC) hypothesis in the presence of institutional quality. Renewable energy consumption is also found to reduce emissions significantly in the long run. Given the importance of institutional quality and renewable energy in reducing CO2 emission, the policymakers need to improve the quality of institutions and deploy more renewable energy for final consumption to achieve long-term climate goals."
317,"Exploring the linkage among energy intensity, carbon emission and urbanization in Pakistan: fresh evidence from ecological modernization and environment transition theories","Shah, Syed Ale Raza; Naqvi, Syed Asif Ali; Anwar, Sofia","This study uses ecological modernization and environmental transition theories to estimate the interaction among energy intensity, carbon emission and urbanization for the period of 1980-2017. We have systematically examined the empirical connections among emission, urbanization, income per capita, imports, exports, energy use, trade openness and energy intensity. The Johnson co-integration and Vector Error Correction Model (VECM) causality methods are employed for the sake of analysis. Overall findings confirm the dynamic and U-shaped relationship between emission and urbanization, and carbon emission and income per capita. The empirical results of urbanization, inflation and financial development illustrate positive association with the energy intensity, whereas trade openness, labour force participation and carbon emission show a negative association with the dependent variable. Moreover, outcomes of causality analysis provide evidence of varied causality link among the variables across the models. The study provides the implications for the decision makers in Pakistan to choose new urbanization patterns that are less reliant on energy consumption."
318,Role of renewable energy and globalization on ecological footprint in the USA: implications for environmental sustainability,"Usman, Ojonugwa; Akadiri, Seyi Saint; Adeshola, Ibrahim","The role of renewable energy and globalization on ecological footprint is investigated in the USA by controlling for the effects of financial development and real output using quarterly data from 1985:Q1 to 2014:Q4. We apply the minimum Lagrange multiplier unit root test, multiple structural break cointegration test, and autoregressive distributed lag (ARDL) estimation approach. The empirical evidence suggests that, in the long run, renewable energy and real output exert negative pressure on ecological footprint while financial development and globalization exert positive pressure on ecological footprint. The short-run results indicate that renewable energy, financial development, real output, and globalization are positively linked to ecological footprint. The vector error correction model Granger causality results, in the long run, divulge that ecological footprint, consumption of renewable energy, real output, and globalization Granger-cause financial development while ecological footprint, renewable energy, financial development, and globalization Granger-cause real output. The results also show that, in the short run, renewable energy and globalization cause ecological footprint and real output causes renewable energy, while renewable energy causes globalization. The finding also reveals that the causality between real output and globalization, as well as globalization and financial development, is bidirectional. Therefore, our findings provide insights for policymakers to consider consumption of renewable energy as a surest way to mitigate carbon dioxide emissions."
319,Inconvenience and adaptation in Japanese adult achondroplasia and hypochondroplasia: A cross-sectional study,"Akiko Ajimi,Masaki Matsushita,Kenichi Mishima,Nobuhiko Haga,Sayaka Fujiwara,Keiichi Ozono,Takuo Kubota,Taichi Kitaoka,Shiro Imagama,Hiroshi Kitoh,Akiko Ajimi,Masaki Matsushita,Kenichi Mishima,Nobuhiko Haga,Sayaka Fujiwara,Keiichi Ozono,Takuo Kubota,Taichi Kitaoka,Shiro Imagama,Hiroshi Kitoh","The health-related quality of life is reduced in patients with achondroplasia (ACH) and hypochondroplasia (HCH); however, the detailed inconveniences in the daily living and individual adaptations have not been elucidated. This study aimed to evaluate the inconvenience and adaptation in patients with ACH/HCH. A cross-sectional study was conducted in patients with ACH/HCH aged 20 yr or older. Questionnaires were sent to 567 patients (described 86) with a medical history at the co-authors' institutions or who were registered at the patients' association with ACH in Japan. The questionnaire included a free description format for the inconveniences and adaptations in daily living; a content analysis was performed. The recorded inconveniences included 148 physical, 84 mental, and 52 social problems. Patients who underwent spine surgery had significantly more recorded physical problems than those who did not (p < 0.05). Pain and numbness were significantly higher in patients aged ≥ 50 yr (p < 0.05). The 160 and 1 adaptations were for physical and social problems, respectively. No patient adaptation was found for mental health problems. Individual adaptations by ACH/HCH patients can improve only some aspects of physical and social problems. Multilateral social support is needed to resolve patients' issues."
320,The Impact of Energy Consumption and Economic Growth on Carbon Dioxide Emissions,"Osobajo, Oluyomi A.; Otitoju, Afolabi; Otitoju, Martha Ajibola; Oke, Adekunle","This study explored the effect of energy consumption and economic growth on CO2 emissions. The relationship between energy consumption, economic growth and CO2 emissions was assessed using regression analysis (the pooled OLS regression and fixed effects methods), Granger causality and panel cointegration tests. Data from 70 countries between 1994-2013 were analysed. The result of the Granger causality tests revealed that the study variables (population, capital stock and economic growth) have a bi-directional causal relationship with CO2 emissions, while energy consumption has a uni-directional relationship. Likewise, the outcome of the cointegration tests established that a long-run relationship exists among the study variables (energy consumption and economic growth) with CO2 emissions. However, the pooled OLS and fixed methods both showed that energy consumption and economic growth have a significant positive impact on CO2 emissions. Hence, this study supports the need for a global transition to a low carbon economy primarily through climate finance, which refers to local, national, or transnational financing, that may be drawn from public, private and alternative sources of financing. This will help foster large-scale investments in clean energy, that are required to significantly reduce CO2 emissions."
